k,m,q,p,eps,rank_success,gap_mean,gap_std,gap_rmse
100,1,0.6,0.6,0.1,0.582,0.01918,0.0710082373374369,0.1075592859775482
100,1,0.6,0.6,0.2,0.708,0.04192,0.070678915590925,0.1731467585604766
100,1,0.6,0.6,0.3,0.776,0.05791,0.0735073821818954,0.252993082909395
100,1,0.6,0.6,0.4,0.861,0.08349,0.0712544531737988,0.324423642788253
100,1,0.6,0.6,0.5,0.906,0.10387,0.0757605620541635,0.4033024919337841
100,1,0.6,0.7,0.1,0.581,0.01671,0.0698136795323799,0.1086567991429896
100,1,0.6,0.7,0.2,0.706,0.04219,0.072042306973014,0.1734615231110346
100,1,0.6,0.7,0.3,0.784,0.05989,0.0735070825920277,0.2510989844662857
100,1,0.6,0.7,0.4,0.828,0.07773,0.0795202525811542,0.3319263472519167
100,1,0.6,0.7,0.5,0.885,0.09573,0.0749445380517071,0.4111511887371846
100,1,0.6,0.7,0.6000000000000001,0.918,0.12102,0.0802994869697659,0.4856576983843662
100,1,0.6,0.8,0.1,0.594,0.01781,0.0607914426502571,0.1022110561534318
100,1,0.6,0.8,0.2,0.713,0.0409799999999999,0.0640073162735053,0.1714065342978499
100,1,0.6,0.8,0.3,0.782,0.06299,0.0710507431918069,0.2474204922798433
100,1,0.6,0.8,0.4,0.827,0.0791799999999999,0.0765283227582062,0.3298123709020024
100,1,0.6,0.8,0.5,0.896,0.10293,0.0790427913402788,0.4048531832652424
100,1,0.6,0.8,0.6000000000000001,0.902,0.1142899999999999,0.0819439485911602,0.4925670512732252
100,1,0.6,0.8,0.7000000000000001,0.968,0.14605,0.0795677606102404,0.5596296096526703
100,1,0.6,0.9,0.1,0.606,0.01944,0.0525018365663796,0.0961436425355311
100,1,0.6,0.9,0.2,0.739,0.0417399999999999,0.0593337416053706,0.1690065087504028
100,1,0.6,0.9,0.3,0.805,0.0630999999999999,0.0659039705430054,0.2458873725915994
100,1,0.6,0.9,0.4,0.869,0.08299,0.0698472514744749,0.3246060689512752
100,1,0.6,0.9,0.5,0.906,0.1039199999999999,0.074616360144416,0.4030401965065023
100,1,0.6,0.9,0.6000000000000001,0.918,0.11952,0.0801972642999822,0.4871203136803063
100,1,0.6,0.9,0.7000000000000001,0.936,0.1416099999999999,0.0858759720910487,0.5649484047238297
100,1,0.6,0.9,0.8,0.957,0.16117,0.0897350738757342,0.6450954192985717
100,1,0.7,0.6,0.1,0.665,0.03674,0.0715492256540327,0.09547774609824
100,1,0.7,0.6,0.2,0.85,0.0800699999999999,0.0709177299723025,0.1393108036011565
100,1,0.7,0.6,0.3,0.953,0.12075,0.0703668173856753,0.1925541482284918
100,1,0.7,0.6,0.4,0.982,0.16015,0.0743653663186547,0.2511029669279119
100,1,0.7,0.6,0.5,0.997,0.20338,0.0715646357993743,0.3051225983109084
100,1,0.7,0.7,0.1,0.701,0.0436299999999999,0.0670448962868771,0.0875676881046884
100,1,0.7,0.7,0.2,0.862,0.07986,0.0672689044470437,0.1376742532211451
100,1,0.7,0.7,0.3,0.949,0.11903,0.0705942111128288,0.1942387705891901
100,1,0.7,0.7,0.4,0.987,0.1594,0.0741440310297284,0.2517542452472252
100,1,0.7,0.7,0.5,0.995,0.19493,0.073733518373476,0.313845344078895
100,1,0.7,0.7,0.6000000000000001,1.0,0.2384,0.0802039442463565,0.3703792650783789
100,1,0.7,0.8,0.1,0.712,0.03975,0.0613530904005796,0.0859680173087643
100,1,0.7,0.8,0.2,0.869,0.0790999999999999,0.066072350915913,0.1377606620193152
100,1,0.7,0.8,0.3,0.943,0.11791,0.0690847639107539,0.1947426506957323
100,1,0.7,0.8,0.4,0.977,0.16101,0.0757629191618163,0.2507000199441556
100,1,0.7,0.8,0.5,0.993,0.19992,0.0750321492656542,0.3093092303827999
100,1,0.7,0.8,0.6000000000000001,0.996,0.24042,0.0797532706801682,0.3683096523307528
100,1,0.7,0.8,0.7000000000000001,1.0,0.2771,0.0836384205098672,0.4310832866164032
100,1,0.7,0.9,0.1,0.757,0.0397099999999999,0.0512605456812892,0.0791195298267121
100,1,0.7,0.9,0.2,0.91,0.08266,0.0570839993604423,0.1304760514424007
100,1,0.7,0.9,0.3,0.973,0.1221199999999999,0.0630641156497312,0.1887177787067239
100,1,0.7,0.9,0.4,0.988,0.1621999999999999,0.0693741506093787,0.2477030480232329
100,1,0.7,0.9,0.5,0.996,0.20135,0.0738981626188259,0.3076480131578945
100,1,0.7,0.9,0.6000000000000001,1.0,0.24191,0.0765605212457008,0.3661749581825607
100,1,0.7,0.9,0.7000000000000001,0.999,0.28078,0.0803482883915236,0.4268428282166634
100,1,0.7,0.9,0.8,1.0,0.3215,0.0834740553580447,0.4857192604787255
100,1,0.8,0.6,0.1,0.762,0.05731,0.0704089576781344,0.0823097807067908
100,1,0.8,0.6,0.2,0.948,0.12142,0.0723589622605204,0.1067960673433249
100,1,0.8,0.6,0.3,0.996,0.18083,0.0690215551481931,0.1376978576449176
100,1,0.8,0.6,0.4,0.999,0.24289,0.0675137467928273,0.1709885961109687
100,1,0.8,0.6,0.5,1.0,0.30075,0.07132618681049,0.2116197060767262
100,1,0.8,0.7,0.1,0.806,0.0595999999999999,0.0649635302324331,0.0764735248304928
100,1,0.8,0.7,0.2,0.954,0.1226299999999999,0.0693685454301522,0.1038908080630813
100,1,0.8,0.7,0.3,0.997,0.1801299999999999,0.0685052996203657,0.1380474556085696
100,1,0.8,0.7,0.4,0.999,0.23776,0.0697757196383602,0.1765944506489374
100,1,0.8,0.7,0.5,1.0,0.29984,0.0731185388305915,0.2130844902849571
100,1,0.8,0.7,0.6000000000000001,1.0,0.3586399999999999,0.069966032084474,0.251286688863537
100,1,0.8,0.8,0.1,0.827,0.06186,0.0604300603358311,0.071433885516609
100,1,0.8,0.8,0.2,0.967,0.12121,0.0643753064464945,0.1017246282863692
100,1,0.8,0.8,0.3,0.993,0.17844,0.0712491602957034,0.140883639930263
100,1,0.8,0.8,0.4,1.0,0.23803,0.0744483825322059,0.1782450560324185
100,1,0.8,0.8,0.5,1.0,0.2991499999999999,0.0739259260513018,0.2140100464931494
100,1,0.8,0.8,0.6000000000000001,1.0,0.35799,0.0761147380824065,0.2536858293243831
100,1,0.8,0.8,0.7000000000000001,1.0,0.41922,0.0750027800619218,0.2906152095125099
100,1,0.8,0.9,0.1,0.861,0.05837,0.0500874420573845,0.0651099070802593
100,1,0.8,0.9,0.2,0.979,0.12138,0.0563903846012374,0.0967357224607332
100,1,0.8,0.9,0.3,0.995,0.18262,0.0625031378591686,0.1329691693589157
100,1,0.8,0.9,0.4,1.0,0.24175,0.0669979568809842,0.1718350953676227
100,1,0.8,0.9,0.5,1.0,0.30046,0.0681779776514135,0.2108549264304725
100,1,0.8,0.9,0.6000000000000001,1.0,0.3622999999999999,0.0721270567284726,0.2483916262678757
100,1,0.8,0.9,0.7000000000000001,1.0,0.41683,0.0745413140983408,0.292807274499798
100,1,0.8,0.9,0.8,1.0,0.4772699999999999,0.076683293013716,0.3317063460351641
100,1,0.9,0.6,0.1,0.853,0.0813299999999999,0.0720035805749659,0.0743498486884808
100,1,0.9,0.6,0.2,0.987,0.15856,0.0707342189447917,0.0819487644812293
100,1,0.9,0.6,0.3,1.0,0.24065,0.0686730914805318,0.0907397377117655
100,1,0.9,0.6,0.4,1.0,0.32232,0.0670232027712023,0.1025758256120807
100,1,0.9,0.6,0.5,1.0,0.40181,0.06378630411454,0.117072199945162
100,1,0.9,0.7,0.1,0.863,0.0788299999999999,0.0694071210211779,0.0725306831623693
100,1,0.9,0.7,0.2,0.992,0.1613,0.0686427113524941,0.0787705528735199
100,1,0.9,0.7,0.3,1.0,0.2428799999999999,0.0714577624321655,0.0914538134798107
100,1,0.9,0.7,0.4,1.0,0.31773,0.0696907734488856,0.1077974953326838
100,1,0.9,0.7,0.5,1.0,0.40101,0.0656200113218969,0.1187463683655209
100,1,0.9,0.7,0.6000000000000001,1.0,0.48241,0.0634469653917144,0.1335997754489131
100,1,0.9,0.8,0.1,0.893,0.0781299999999999,0.060140002659793,0.0639648340887397
100,1,0.9,0.8,0.2,0.993,0.16068,0.0654845464657565,0.0763544366752843
100,1,0.9,0.8,0.3,1.0,0.24458,0.0656241581289248,0.0858696686845827
100,1,0.9,0.8,0.4,1.0,0.31973,0.0668902190264122,0.1044657838720411
100,1,0.9,0.8,0.5,1.0,0.39948,0.0655578174394742,0.1199908329831908
100,1,0.9,0.8,0.6000000000000001,1.0,0.47866,0.0677480198544149,0.1389553885245189
100,1,0.9,0.8,0.7000000000000001,1.0,0.56214,0.0665646396463712,0.1530744916699056
100,1,0.9,0.9,0.1,0.925,0.0798499999999999,0.0510184317710803,0.0548297364575099
100,1,0.9,0.9,0.2,1.0,0.16167,0.0544745681816623,0.0665860345718229
100,1,0.9,0.9,0.3,1.0,0.2408,0.0590800342793608,0.0836157879828923
100,1,0.9,0.9,0.4,1.0,0.31651,0.0625526396943624,0.1043048416901152
100,1,0.9,0.9,0.5,1.0,0.39882,0.0630220547061056,0.1191855695963231
100,1,0.9,0.9,0.6000000000000001,1.0,0.47777,0.0644754541215816,0.1381777840320216
100,1,0.9,0.9,0.7000000000000001,1.0,0.5633400000000001,0.0663252850988478,0.1518900918427532
100,1,0.9,0.9,0.8,1.0,0.64376,0.0630145477904366,0.1684571162046887
100,2,0.6,0.6,0.1,0.537,0.02308,0.1010778429247989,0.1269771633011227
100,2,0.6,0.6,0.2,0.609,0.0395,0.1005696985391935,0.1893789851065846
100,2,0.6,0.6,0.3,0.699,0.0667,0.106577994299334,0.2564691014527872
100,2,0.6,0.6,0.4,0.743,0.07576,0.10401943300385,0.3405008076348719
100,2,0.6,0.6,0.5,0.8,0.1026,0.1071331765491788,0.4115735657206376
100,2,0.6,0.7,0.1,0.553,0.0215999999999999,0.0978806447701516,0.1253698528355202
100,2,0.6,0.7,0.2,0.617,0.04248,0.102310884646342,0.1878020234182795
100,2,0.6,0.7,0.3,0.691,0.0617,0.1054771796903739,0.2605785869944037
100,2,0.6,0.7,0.4,0.765,0.08178,0.1053847120674414,0.3351996420045821
100,2,0.6,0.7,0.5,0.799,0.10628,0.1131855669799492,0.4096505828141832
100,2,0.6,0.7,0.6000000000000001,0.822,0.11872,0.1124624800073758,0.4942323340292499
100,2,0.6,0.8,0.1,0.552,0.0193,0.0886734062330582,0.1198649239769499
100,2,0.6,0.8,0.2,0.615,0.03608,0.0925483592442286,0.1882190213554411
100,2,0.6,0.8,0.3,0.678,0.0566599999999999,0.0989577537994726,0.26267318096829
100,2,0.6,0.8,0.4,0.771,0.08294,0.1024688062595454,0.3331912363793502
100,2,0.6,0.8,0.5,0.782,0.099,0.1085559044197246,0.4154197876846985
100,2,0.6,0.8,0.6000000000000001,0.827,0.11958,0.1198506895590834,0.4951294780155995
100,2,0.6,0.8,0.7000000000000001,0.861,0.13774,0.1173177559274633,0.5743570318190594
100,2,0.6,0.9,0.1,0.553,0.0206199999999999,0.0718970429488222,0.1070756741748563
100,2,0.6,0.9,0.2,0.648,0.04278,0.0802490592562399,0.1764981586306214
100,2,0.6,0.9,0.3,0.71,0.0591799999999999,0.0930612056014104,0.2581588658171553
100,2,0.6,0.9,0.4,0.752,0.0776,0.0980032889480993,0.336952222132456
100,2,0.6,0.9,0.5,0.807,0.10488,0.1077060174093638,0.4095226489463067
100,2,0.6,0.9,0.6000000000000001,0.828,0.1226,0.1137038634724808,0.4907406647099872
100,2,0.6,0.9,0.7000000000000001,0.863,0.14528,0.1231230314802266,0.5682063005634486
100,2,0.6,0.9,0.8,0.869,0.15604,0.129535701248335,0.6568464051816072
100,2,0.7,0.6,0.1,0.618,0.0374599999999999,0.0957157767032682,0.1142961066703499
100,2,0.7,0.6,0.2,0.757,0.08342,0.1038859754533589,0.1561166230739059
100,2,0.7,0.6,0.3,0.865,0.1189,0.1027158241973481,0.208175887172362
100,2,0.7,0.6,0.4,0.936,0.16426,0.1023480704631383,0.2569785983306781
100,2,0.7,0.6,0.5,0.971,0.19972,0.1055303665219554,0.3182665549504063
100,2,0.7,0.7,0.1,0.628,0.04008,0.0947299707978809,0.1120499888442654
100,2,0.7,0.7,0.2,0.766,0.08324,0.0986185987936759,0.1528031413289661
100,2,0.7,0.7,0.3,0.841,0.11854,0.1071678746329951,0.2107159225118026
100,2,0.7,0.7,0.4,0.923,0.1607,0.1066775050799843,0.2619793885022255
100,2,0.7,0.7,0.5,0.956,0.19672,0.1054683135598799,0.3210781836251102
100,2,0.7,0.7,0.6000000000000001,0.973,0.24008,0.1157678530326782,0.3780624287072177
100,2,0.7,0.8,0.1,0.632,0.0415,0.0891902736003478,0.1066264507521468
100,2,0.7,0.8,0.2,0.79,0.0820399999999999,0.0922103092996718,0.1496956913207591
100,2,0.7,0.8,0.3,0.87,0.11856,0.0994254082808404,0.206871941064998
100,2,0.7,0.8,0.4,0.904,0.1571999999999999,0.1053606229141649,0.2646537360401323
100,2,0.7,0.8,0.5,0.957,0.2034,0.1121544409224111,0.3170766468852602
100,2,0.7,0.8,0.6000000000000001,0.984,0.24066,0.1082093973445637,0.3752636406581379
100,2,0.7,0.8,0.7000000000000001,0.989,0.28002,0.1150758099777796,0.435445059680323
100,2,0.7,0.9,0.1,0.662,0.0389799999999999,0.0703954197026704,0.0931343116150004
100,2,0.7,0.9,0.2,0.801,0.0812,0.0831424841622661,0.1449799986204994
100,2,0.7,0.9,0.3,0.896,0.11932,0.0861147684973567,0.2001339551400511
100,2,0.7,0.9,0.4,0.944,0.16146,0.0982115772906326,0.2579480567866329
100,2,0.7,0.9,0.5,0.966,0.20476,0.1016527209457556,0.3122332461478117
100,2,0.7,0.9,0.6000000000000001,0.98,0.23774,0.1096362737077127,0.3784711349627605
100,2,0.7,0.9,0.7000000000000001,0.986,0.28276,0.1164970126396121,0.4331826404647352
100,2,0.7,0.9,0.8,0.995,0.3211599999999999,0.1131452882636137,0.492013007958123
100,2,0.8,0.6,0.1,0.682,0.05912,0.1017486038153761,0.1096065691461967
100,2,0.8,0.6,0.2,0.874,0.12424,0.0987794501897018,0.1244475793255939
100,2,0.8,0.6,0.3,0.953,0.17706,0.10247271371959,0.1600137494092305
100,2,0.8,0.6,0.4,0.99,0.23896,0.1002205695581628,0.1896523134580751
100,2,0.8,0.6,0.5,0.999,0.30334,0.0982348944850784,0.2198080981219754
100,2,0.8,0.7,0.1,0.706,0.0604,0.0959888215046619,0.1037920998920438
