k,m,q,p,eps,rank_success,gap_mean,gap_std,gap_rmse
100,1,0.6,0.6,0.1,0.582,0.019180000000000003,0.07100823733743691,0.10755928597754821
100,1,0.6,0.6,0.2,0.708,0.04192,0.07067891559092505,0.17314675856047668
100,1,0.6,0.6,0.30000000000000004,0.776,0.05791000000000001,0.07350738218189541,0.252993082909395
100,1,0.6,0.6,0.4,0.861,0.08349000000000001,0.07125445317379887,0.32442364278825303
100,1,0.6,0.6,0.5,0.906,0.10387,0.07576056205416352,0.4033024919337841
100,1,0.6,0.7,0.1,0.581,0.01671,0.06981367953237998,0.10865679914298967
100,1,0.6,0.7,0.2,0.706,0.04219,0.07204230697301409,0.17346152311103463
100,1,0.6,0.7,0.30000000000000004,0.784,0.059890000000000006,0.07350708259202776,0.25109898446628576
100,1,0.6,0.7,0.4,0.828,0.07773000000000001,0.07952025258115426,0.3319263472519167
100,1,0.6,0.7,0.5,0.885,0.09573000000000001,0.07494453805170717,0.41115118873718465
100,1,0.6,0.7,0.6000000000000001,0.918,0.12102000000000002,0.08029948696976592,0.48565769838436623
100,1,0.6,0.75,0.1,0.593,0.017810000000000003,0.06426222477889738,0.10431059390109904
100,1,0.6,0.75,0.2,0.713,0.03996,0.06614206810474837,0.17315657654273486
100,1,0.6,0.75,0.30000000000000004,0.781,0.06330999999999999,0.07294425792867293,0.2476644907934927
100,1,0.6,0.75,0.4,0.828,0.07912999999999999,0.0759665321968432,0.32973125420560306
100,1,0.6,0.75,0.5,0.886,0.10305000000000002,0.08000123560106867,0.40492357303570264
100,1,0.6,0.75,0.6000000000000001,0.914,0.11546000000000001,0.08168880866716971,0.4913709393116366
100,1,0.6,0.8,0.1,0.601,0.0219,0.0615384187071538,0.09941227288418668
100,1,0.6,0.8,0.2,0.715,0.04026,0.06857868061894626,0.17382519955403478
100,1,0.6,0.8,0.30000000000000004,0.796,0.06192,0.07114474805054254,0.24847253369336422
100,1,0.6,0.8,0.4,0.859,0.08306000000000001,0.0758471435796312,0.3258803461394995
100,1,0.6,0.8,0.5,0.893,0.10333999999999999,0.07771411637459365,0.40419376541455954
100,1,0.6,0.8,0.6000000000000001,0.927,0.12246000000000001,0.08069361721883497,0.48430300432683676
100,1,0.6,0.8,0.7000000000000001,0.946,0.13943,0.0841216473421173,0.5668404537433793
100,1,0.6,0.9,0.1,0.631,0.021719999999999993,0.05133104788017166,0.09359487165438074
100,1,0.6,0.9,0.2,0.726,0.0404,0.058201610178992697,0.16987112762326623
100,1,0.6,0.9,0.30000000000000004,0.791,0.06005,0.06420295569145956,0.2483825678263272
100,1,0.6,0.9,0.4,0.861,0.08243,0.07172265499296049,0.3255605934384566
100,1,0.6,0.9,0.5,0.903,0.10234,0.07409192947962696,0.40449672433778744
100,1,0.6,0.9,0.6000000000000001,0.925,0.12039,0.07971513283186826,0.4861829902413288
100,1,0.6,0.9,0.7000000000000001,0.948,0.14395,0.08646718495518442,0.5627261323237087
100,1,0.6,0.9,0.8,0.945,0.15733,0.09100358648291149,0.6490748030851299
100,1,0.7,0.6,0.1,0.713,0.04014,0.06672205206850455,0.08961361503700205
100,1,0.7,0.6,0.2,0.85,0.07964000000000002,0.07208096882025149,0.14027473043994773
100,1,0.7,0.6,0.30000000000000004,0.949,0.11853999999999999,0.07177478679884754,0.19512611306537117
100,1,0.7,0.6,0.4,0.982,0.15619,0.07186757856536456,0.2541713988630507
100,1,0.7,0.6,0.5,0.996,0.20005,0.07521938217943201,0.30922855624925716
100,1,0.7,0.7,0.1,0.703,0.04021999999999999,0.0672404110105885,0.08994665085482617
100,1,0.7,0.7,0.2,0.849,0.07734,0.0696417574044077,0.14103403844462514
100,1,0.7,0.7,0.30000000000000004,0.94,0.11786000000000002,0.07111172390877103,0.1955167512005046
100,1,0.7,0.7,0.4,0.978,0.15997,0.07656213725374221,0.25193312604736995
100,1,0.7,0.7,0.5,0.994,0.203,0.0780633966330821,0.3070778402946067
100,1,0.7,0.7,0.6000000000000001,0.998,0.24312,0.07912981187344709,0.3655387804323914
100,1,0.7,0.75,0.1,0.702,0.038619999999999995,0.0646999357162098,0.08915940780422445
100,1,0.7,0.75,0.2,0.862,0.08284,0.06943598314819022,0.1361726844855458
100,1,0.7,0.75,0.30000000000000004,0.943,0.12059,0.0728454415756975,0.19362102158598385
100,1,0.7,0.75,0.4,0.978,0.16066,0.07407598566102007,0.25053023769597155
100,1,0.7,0.75,0.5,0.995,0.2035,0.07554904140793355,0.3059643770114423
100,1,0.7,0.75,0.6000000000000001,0.998,0.24231999999999998,0.07807889544501712,0.36609452331331055
100,1,0.7,0.8,0.1,0.723,0.040069999999999995,0.05987052346171344,0.0846906134114047
100,1,0.7,0.8,0.2,0.862,0.07671000000000001,0.06403887004684636,0.138914722041978
100,1,0.7,0.8,0.30000000000000004,0.943,0.12004999999999998,0.07365407268048674,0.19442607849771598
100,1,0.7,0.8,0.4,0.988,0.15899000000000002,0.0752698176259611,0.25247910804658674
100,1,0.7,0.8,0.5,0.996,0.19988,0.07634142789870788,0.30966788661403044
100,1,0.7,0.8,0.6000000000000001,0.998,0.24331,0.07853095575001624,0.3652241777319788
